Authors,Source,Title,Year,Ni (at.%),Ti (at.%),ev/a (Number of Valence Electrons),composition,Hf (at.%)
O. Karakoc; A. Demblon; R. W. Wheeler; D. C. Lagoudas and I. Karaman,AIAA Scitech 2019 Forum,Effects of testing parameters on the fatigue performance NiTiHf high temperature shape memory alloys,2019.0,50.3,29.7,7.018,Ni50.3Ti29.7Hf20.0 %,20.0
O. Karakoc; A. Demblon; R. W. Wheeler; D. C. Lagoudas and I. Karaman,AIAA Scitech 2019 Forum,Effects of testing parameters on the fatigue performance NiTiHf high temperature shape memory alloys,2019.0,50.3,29.7,7.018,Ni50.3Ti29.7Hf20.0 %,20.0
O. Karakoc; A. Demblon; R. W. Wheeler; D. C. Lagoudas and I. Karaman,AIAA Scitech 2019 Forum,Effects of testing parameters on the fatigue performance NiTiHf high temperature shape memory alloys,2019.0,50.3,29.7,7.018,Ni50.3Ti29.7Hf20.0 %,20.0
O. Karakoc; A. Demblon; R. W. Wheeler; D. C. Lagoudas and I. Karaman,AIAA Scitech 2019 Forum,Effects of testing parameters on the fatigue performance NiTiHf high temperature shape memory alloys,2019.0,50.3,29.7,7.018,Ni50.3Ti29.7Hf20.0 %,20.0
O. Karakoc; A. Demblon; R. W. Wheeler; D. C. Lagoudas and I. Karaman,AIAA Scitech 2019 Forum,Effects of testing parameters on the fatigue performance NiTiHf high temperature shape memory alloys,2019.0,50.3,29.7,7.018,Ni50.3Ti29.7Hf20.0 %,20.0
O. Karakoc; A. Demblon; R. W. Wheeler; D. C. Lagoudas and I. Karaman,AIAA Scitech 2019 Forum,Effects of testing parameters on the fatigue performance NiTiHf high temperature shape memory alloys,2019.0,50.3,29.7,7.018,Ni50.3Ti29.7Hf20.0 %,20.0
O. Karakoc; A. Demblon; R. W. Wheeler; D. C. Lagoudas and I. Karaman,AIAA Scitech 2019 Forum,Effects of testing parameters on the fatigue performance NiTiHf high temperature shape memory alloys,2019.0,50.3,29.7,7.018,Ni50.3Ti29.7Hf20.0 %,20.0
O. Karakoc; C. Hayrettin; M. Bass; S. J. Wang; D. Canadinc; J. H. Mabe; D. C. Lagoudas and I. Karaman,Acta Materialia,Effects of upper cycle temperature on the actuation fatigue response of NiTiHf high temperature shape memory alloys,2017.0,50.3,29.7,7.018,Ni50.3Ti29.7Hf20.0 %,20.0
O. Karakoc; C. Hayrettin; M. Bass; S. J. Wang; D. Canadinc; J. H. Mabe; D. C. Lagoudas and I. Karaman,Acta Materialia,Effects of upper cycle temperature on the actuation fatigue response of NiTiHf high temperature shape memory alloys,2017.0,50.3,29.7,7.018,Ni50.3Ti29.7Hf20.0 %,20.0
O. Karakoc; C. Hayrettin; M. Bass; S. J. Wang; D. Canadinc; J. H. Mabe; D. C. Lagoudas and I. Karaman,Acta Materialia,Effects of upper cycle temperature on the actuation fatigue response of NiTiHf high temperature shape memory alloys,2017.0,50.3,29.7,7.018,Ni50.3Ti29.7Hf20.0 %,20.0
O. Karakoc; C. Hayrettin; M. Bass; S. J. Wang; D. Canadinc; J. H. Mabe; D. C. Lagoudas and I. Karaman,Acta Materialia,Effects of upper cycle temperature on the actuation fatigue response of NiTiHf high temperature shape memory alloys,2017.0,50.3,29.7,7.018,Ni50.3Ti29.7Hf20.0 %,20.0
O. Karakoc; C. Hayrettin; M. Bass; S. J. Wang; D. Canadinc; J. H. Mabe; D. C. Lagoudas and I. Karaman,Acta Materialia,Effects of upper cycle temperature on the actuation fatigue response of NiTiHf high temperature shape memory alloys,2017.0,50.3,29.7,7.018,Ni50.3Ti29.7Hf20.0 %,20.0
O. Karakoc; C. Hayrettin; M. Bass; S. J. Wang; D. Canadinc; J. H. Mabe; D. C. Lagoudas and I. Karaman,Acta Materialia,Effects of upper cycle temperature on the actuation fatigue response of NiTiHf high temperature shape memory alloys,2017.0,50.3,29.7,7.018,Ni50.3Ti29.7Hf20.0 %,20.0
O. Karakoc; C. Hayrettin; M. Bass; S. J. Wang; D. Canadinc; J. H. Mabe; D. C. Lagoudas and I. Karaman,Acta Materialia,Effects of upper cycle temperature on the actuation fatigue response of NiTiHf high temperature shape memory alloys,2017.0,50.3,29.7,7.018,Ni50.3Ti29.7Hf20.0 %,20.0
O. Karakoc; C. Hayrettin; M. Bass; S. J. Wang; D. Canadinc; J. H. Mabe; D. C. Lagoudas and I. Karaman,Acta Materialia,Effects of upper cycle temperature on the actuation fatigue response of NiTiHf high temperature shape memory alloys,2017.0,50.3,29.7,7.018,Ni50.3Ti29.7Hf20.0 %,20.0
O. Karakoc; C. Hayrettin; M. Bass; S. J. Wang; D. Canadinc; J. H. Mabe; D. C. Lagoudas and I. Karaman,Acta Materialia,Effects of upper cycle temperature on the actuation fatigue response of NiTiHf high temperature shape memory alloys,2017.0,50.3,29.7,7.018,Ni50.3Ti29.7Hf20.0 %,20.0
F. R. Phillips; R. W. Wheeler; A. B. Geltmacher and D. C. Lagoudas,International Journal of Fatigue,Evolution of internal damage during actuation fatigue in shape memory alloys,2019.0,50.3,29.7,7.018,Ni50.3Ti29.7Hf20.0 %,20.0
F. R. Phillips; R. W. Wheeler; A. B. Geltmacher and D. C. Lagoudas,International Journal of Fatigue,Evolution of internal damage during actuation fatigue in shape memory alloys,2019.0,50.3,29.7,7.018,Ni50.3Ti29.7Hf20.0 %,20.0
F. R. Phillips; R. W. Wheeler; A. B. Geltmacher and D. C. Lagoudas,International Journal of Fatigue,Evolution of internal damage during actuation fatigue in shape memory alloys,2019.0,50.3,29.7,7.018,Ni50.3Ti29.7Hf20.0 %,20.0
F. R. Phillips; R. W. Wheeler; A. B. Geltmacher and D. C. Lagoudas,International Journal of Fatigue,Evolution of internal damage during actuation fatigue in shape memory alloys,2019.0,50.3,29.7,7.018,Ni50.3Ti29.7Hf20.0 %,20.0
F. R. Phillips; R. W. Wheeler; A. B. Geltmacher and D. C. Lagoudas,International Journal of Fatigue,Evolution of internal damage during actuation fatigue in shape memory alloys,2019.0,50.3,29.7,7.018,Ni50.3Ti29.7Hf20.0 %,20.0
F. R. Phillips; R. W. Wheeler; A. B. Geltmacher and D. C. Lagoudas,International Journal of Fatigue,Evolution of internal damage during actuation fatigue in shape memory alloys,2019.0,50.3,29.7,7.018,Ni50.3Ti29.7Hf20.0 %,20.0
F. R. Phillips; R. W. Wheeler; A. B. Geltmacher and D. C. Lagoudas,International Journal of Fatigue,Evolution of internal damage during actuation fatigue in shape memory alloys,2019.0,50.3,29.7,7.018,Ni50.3Ti29.7Hf20.0 %,20.0
B. Haghgouyan; B. Young; I. Karaman and D. Lagoudas,Behavior and Mechanics of Multifunctional Materials XIII,Fracture toughness of martensitic NiTiHf high-temperature shape memory alloy,2019.0,50.3,29.7,7.018,Ni50.3Ti29.7Hf20.0 %,20.0
B. Haghgouyan; B. Young; I. Karaman and D. Lagoudas,Behavior and Mechanics of Multifunctional Materials XIII,Fracture toughness of martensitic NiTiHf high-temperature shape memory alloy,2019.0,50.3,29.7,7.018,Ni50.3Ti29.7Hf20.0 %,20.0
S.-W. Kim; J. W. Jo; C. H. Park; J.-K. Hong; J.-T. Yeom and H.-G. Kim,Materials Science and Engineering: A,Fracture toughness of TiNiHf alloys: A hybrid study using in-situ transmission electron microscopy experiments and finite element analyses,2016.0,50.3,34.7,7.018,Ni50.3Ti34.7Hf15.0 %,15.0
S.-W. Kim; J. W. Jo; C. H. Park; J.-K. Hong; J.-T. Yeom and H.-G. Kim,Materials Science and Engineering: A,Fracture toughness of TiNiHf alloys: A hybrid study using in-situ transmission electron microscopy experiments and finite element analyses,2016.0,50.3,34.7,7.018,Ni50.3Ti34.7Hf15.0 %,15.0
W. Abuzaid and H. Sehitoglu,Materials Science and Engineering: A,Functional fatigue of Ni50.3Ti25Hf24.7 – Heterogeneities and evolution of local transformation strains,2017.0,50.3,25.0,7.018,Ni50.3Ti25.0Hf24.7 %,24.7
W. Abuzaid and H. Sehitoglu,Materials Science and Engineering: A,Functional fatigue of Ni50.3Ti25Hf24.7 – Heterogeneities and evolution of local transformation strains,2017.0,50.3,25.0,7.018,Ni50.3Ti25.0Hf24.7 %,24.7
W. Abuzaid and H. Sehitoglu,Materials Science and Engineering: A,Functional fatigue of Ni50.3Ti25Hf24.7 – Heterogeneities and evolution of local transformation strains,2017.0,50.3,25.0,7.018,Ni50.3Ti25.0Hf24.7 %,24.7
W. Abuzaid and H. Sehitoglu,Materials Science and Engineering: A,Functional fatigue of Ni50.3Ti25Hf24.7 – Heterogeneities and evolution of local transformation strains,2017.0,50.3,25.0,7.018,Ni50.3Ti25.0Hf24.7 %,24.7
W. Abuzaid and H. Sehitoglu,Materials Science and Engineering: A,Functional fatigue of Ni50.3Ti25Hf24.7 – Heterogeneities and evolution of local transformation strains,2017.0,50.3,25.0,7.018,Ni50.3Ti25.0Hf24.7 %,24.7
W. Abuzaid and H. Sehitoglu,Materials Science and Engineering: A,Functional fatigue of Ni50.3Ti25Hf24.7 – Heterogeneities and evolution of local transformation strains,2017.0,50.3,25.0,7.018,Ni50.3Ti25.0Hf24.7 %,24.7
W. Abuzaid and H. Sehitoglu,Materials Science and Engineering: A,Functional fatigue of Ni50.3Ti25Hf24.7 – Heterogeneities and evolution of local transformation strains,2017.0,50.3,25.0,7.018,Ni50.3Ti25.0Hf24.7 %,24.7
W. Abuzaid and H. Sehitoglu,Materials Science and Engineering: A,Functional fatigue of Ni50.3Ti25Hf24.7 – Heterogeneities and evolution of local transformation strains,2017.0,50.3,25.0,7.018,Ni50.3Ti25.0Hf24.7 %,24.7
W. Abuzaid and H. Sehitoglu,Materials Science and Engineering: A,Functional fatigue of Ni50.3Ti25Hf24.7 – Heterogeneities and evolution of local transformation strains,2017.0,50.3,25.0,7.018,Ni50.3Ti25.0Hf24.7 %,24.7
W. Abuzaid and H. Sehitoglu,Materials Science and Engineering: A,Functional fatigue of Ni50.3Ti25Hf24.7 – Heterogeneities and evolution of local transformation strains,2017.0,50.3,25.0,7.018,Ni50.3Ti25.0Hf24.7 %,24.7
W. Abuzaid and H. Sehitoglu,Materials Science and Engineering: A,Functional fatigue of Ni50.3Ti25Hf24.7 – Heterogeneities and evolution of local transformation strains,2017.0,50.3,25.0,7.018,Ni50.3Ti25.0Hf24.7 %,24.7
W. Abuzaid and H. Sehitoglu,Materials Science and Engineering: A,Functional fatigue of Ni50.3Ti25Hf24.7 – Heterogeneities and evolution of local transformation strains,2017.0,50.3,25.0,7.018,Ni50.3Ti25.0Hf24.7 %,24.7
W. Abuzaid and H. Sehitoglu,Materials Science and Engineering: A,Functional fatigue of Ni50.3Ti25Hf24.7 – Heterogeneities and evolution of local transformation strains,2017.0,50.3,25.0,7.018,Ni50.3Ti25.0Hf24.7 %,24.7
W. Abuzaid and H. Sehitoglu,Materials Science and Engineering: A,Functional fatigue of Ni50.3Ti25Hf24.7 – Heterogeneities and evolution of local transformation strains,2017.0,50.3,25.0,7.018,Ni50.3Ti25.0Hf24.7 %,24.7
W. Abuzaid and H. Sehitoglu,Materials Science and Engineering: A,Functional fatigue of Ni50.3Ti25Hf24.7 – Heterogeneities and evolution of local transformation strains,2017.0,50.3,25.0,7.018,Ni50.3Ti25.0Hf24.7 %,24.7
W. Abuzaid and H. Sehitoglu,Materials Science and Engineering: A,Functional fatigue of Ni50.3Ti25Hf24.7 – Heterogeneities and evolution of local transformation strains,2017.0,50.3,25.0,7.018,Ni50.3Ti25.0Hf24.7 %,24.7
W. Abuzaid and H. Sehitoglu,Materials Science and Engineering: A,Functional fatigue of Ni50.3Ti25Hf24.7 – Heterogeneities and evolution of local transformation strains,2017.0,50.3,25.0,7.018,Ni50.3Ti25.0Hf24.7 %,24.7
O. Benafan and J. G. Darrell,Smart Materials and Structures,High temperature shape memory alloy Ni50.3Ti29.7Hf20 torque tube actuators,2017.0,50.3,29.7,7.018,Ni50.3Ti29.7Hf20.0 %,20.0
M. Prasher and D. Sen,Journal of Alloys and Compounds,Influence of aging on phase transformation and microstructure of Ni50.3Ti29.7Hf20 high temperature shape memory alloy,2014.0,50.3,29.7,7.018,Ni50.3Ti29.7Hf20.0 %,20.0
M. Prasher and D. Sen,Journal of Alloys and Compounds,Influence of aging on phase transformation and microstructure of Ni50.3Ti29.7Hf20 high temperature shape memory alloy,2014.0,50.3,29.7,7.018,Ni50.3Ti29.7Hf20.0 %,20.0
M. Prasher and D. Sen,Journal of Alloys and Compounds,Influence of aging on phase transformation and microstructure of Ni50.3Ti29.7Hf20 high temperature shape memory alloy,2014.0,50.3,29.7,7.018,Ni50.3Ti29.7Hf20.0 %,20.0
M. Prasher and D. Sen,Journal of Alloys and Compounds,Influence of aging on phase transformation and microstructure of Ni50.3Ti29.7Hf20 high temperature shape memory alloy,2014.0,50.3,29.7,7.018,Ni50.3Ti29.7Hf20.0 %,20.0
M. Prasher and D. Sen,Journal of Alloys and Compounds,Influence of aging on phase transformation and microstructure of Ni50.3Ti29.7Hf20 high temperature shape memory alloy,2014.0,50.3,29.7,7.018,Ni50.3Ti29.7Hf20.0 %,20.0
M. Prasher and D. Sen,Journal of Alloys and Compounds,Influence of aging on phase transformation and microstructure of Ni50.3Ti29.7Hf20 high temperature shape memory alloy,2014.0,50.3,29.7,7.018,Ni50.3Ti29.7Hf20.0 %,20.0
S. M. Kornegay,Metallurgical and Materials Engineering,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,50.3,48.7,7.018,Ni50.3Ti48.7Hf1.0 %,1.0
S. M. Kornegay,Metallurgical and Materials Engineering,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,50.3,48.7,7.018,Ni50.3Ti48.7Hf1.0 %,1.0
S. M. Kornegay,Metallurgical and Materials Engineering,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,50.3,48.7,7.018,Ni50.3Ti48.7Hf1.0 %,1.0
S. M. Kornegay,Metallurgical and Materials Engineering,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,50.3,48.7,7.018,Ni50.3Ti48.7Hf1.0 %,1.0
S. M. Kornegay,Metallurgical and Materials Engineering,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,50.3,48.7,7.018,Ni50.3Ti48.7Hf1.0 %,1.0
S. M. Kornegay,Metallurgical and Materials Engineering,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,50.3,48.7,7.018,Ni50.3Ti48.7Hf1.0 %,1.0
S. M. Kornegay,Metallurgical and Materials Engineering,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,50.3,48.7,7.018,Ni50.3Ti48.7Hf1.0 %,1.0
S. M. Kornegay,Metallurgical and Materials Engineering,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,50.3,48.7,7.018,Ni50.3Ti48.7Hf1.0 %,1.0
S. M. Kornegay,Metallurgical and Materials Engineering,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,50.3,48.7,7.018,Ni50.3Ti48.7Hf1.0 %,1.0
S. M. Kornegay,Metallurgical and Materials Engineering,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,50.3,48.7,7.018,Ni50.3Ti48.7Hf1.0 %,1.0
S. M. Kornegay,Metallurgical and Materials Engineering,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,50.3,48.7,7.018,Ni50.3Ti48.7Hf1.0 %,1.0
S. M. Kornegay,Metallurgical and Materials Engineering,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,50.3,48.7,7.018,Ni50.3Ti48.7Hf1.0 %,1.0
S. M. Kornegay,Metallurgical and Materials Engineering,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,50.3,48.7,7.018,Ni50.3Ti48.7Hf1.0 %,1.0
S. M. Kornegay,Metallurgical and Materials Engineering,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,50.3,48.7,7.018,Ni50.3Ti48.7Hf1.0 %,1.0
S. M. Kornegay,Metallurgical and Materials Engineering,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,50.3,48.7,7.018,Ni50.3Ti48.7Hf1.0 %,1.0
S. M. Kornegay,Metallurgical and Materials Engineering,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,50.3,48.7,7.018,Ni50.3Ti48.7Hf1.0 %,1.0
S. M. Kornegay,Metallurgical and Materials Engineering,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,50.3,48.7,7.018,Ni50.3Ti48.7Hf1.0 %,1.0
S. M. Kornegay,Metallurgical and Materials Engineering,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,50.3,48.7,7.018,Ni50.3Ti48.7Hf1.0 %,1.0
S. M. Kornegay,Metallurgical and Materials Engineering,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,50.3,48.7,7.018,Ni50.3Ti48.7Hf1.0 %,1.0
S. M. Kornegay,Metallurgical and Materials Engineering,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,50.3,48.7,7.018,Ni50.3Ti48.7Hf1.0 %,1.0
S. M. Kornegay,Metallurgical and Materials Engineering,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,50.3,48.7,7.018,Ni50.3Ti48.7Hf1.0 %,1.0
S. M. Kornegay,Metallurgical and Materials Engineering,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,50.3,48.7,7.018,Ni50.3Ti48.7Hf1.0 %,1.0
S. M. Kornegay,Metallurgical and Materials Engineering,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,50.3,48.7,7.018,Ni50.3Ti48.7Hf1.0 %,1.0
S. M. Kornegay,Metallurgical and Materials Engineering,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,50.3,48.7,7.018,Ni50.3Ti48.7Hf1.0 %,1.0
S. M. Kornegay,Metallurgical and Materials Engineering,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,50.3,48.7,7.018,Ni50.3Ti48.7Hf1.0 %,1.0
S. M. Kornegay,Metallurgical and Materials Engineering,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,50.3,48.7,7.018,Ni50.3Ti48.7Hf1.0 %,1.0
S. M. Kornegay,Metallurgical and Materials Engineering,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,50.3,48.7,7.018,Ni50.3Ti48.7Hf1.0 %,1.0
S. M. Kornegay,Metallurgical and Materials Engineering,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,50.3,48.7,7.018,Ni50.3Ti48.7Hf1.0 %,1.0
S. M. Kornegay,Metallurgical and Materials Engineering,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,50.3,48.7,7.018,Ni50.3Ti48.7Hf1.0 %,1.0
S. M. Kornegay,Metallurgical and Materials Engineering,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,50.3,48.7,7.018,Ni50.3Ti48.7Hf1.0 %,1.0
S. M. Kornegay,Metallurgical and Materials Engineering,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,50.3,48.7,7.018,Ni50.3Ti48.7Hf1.0 %,1.0
S. M. Kornegay,Metallurgical and Materials Engineering,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,50.3,48.7,7.018,Ni50.3Ti48.7Hf1.0 %,1.0
S. M. Kornegay,Metallurgical and Materials Engineering,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,50.3,48.7,7.018,Ni50.3Ti48.7Hf1.0 %,1.0
S. M. Kornegay,Metallurgical and Materials Engineering,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,50.3,48.7,7.018,Ni50.3Ti48.7Hf1.0 %,1.0
S. M. Kornegay,Metallurgical and Materials Engineering,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,50.3,48.7,7.018,Ni50.3Ti48.7Hf1.0 %,1.0
S. M. Kornegay,Metallurgical and Materials Engineering,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,50.3,48.7,7.018,Ni50.3Ti48.7Hf1.0 %,1.0
S. M. Kornegay,Metallurgical and Materials Engineering,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,50.3,48.7,7.018,Ni50.3Ti48.7Hf1.0 %,1.0
B. C. Hornbuckle,Metallurgical Engineering,Investigations in phase stability and mechanical attributes in nickel-rich Nitinol with and without hafnium additions,2014.0,50.3,29.7,7.018,Ni50.3Ti29.7Hf20.0 %,20.0
A. Evirgen; I. Karaman; R. Santamarta; J. Pons and R. D. Noebe,Acta Materialia,Microstructural characterization and shape memory characteristics of the Ni50.3Ti34.7Hf15 shape memory alloy,2015.0,50.3,34.7,7.018,Ni50.3Ti34.7Hf15.0 %,15.0
A. Evirgen; I. Karaman; R. Santamarta; J. Pons and R. D. Noebe,Acta Materialia,Microstructural characterization and shape memory characteristics of the Ni50.3Ti34.7Hf15 shape memory alloy,2015.0,50.3,34.7,7.018,Ni50.3Ti34.7Hf15.0 %,15.0
A. Evirgen; I. Karaman; R. Santamarta; J. Pons and R. D. Noebe,Acta Materialia,Microstructural characterization and shape memory characteristics of the Ni50.3Ti34.7Hf15 shape memory alloy,2015.0,50.3,34.7,7.018,Ni50.3Ti34.7Hf15.0 %,15.0
A. Evirgen; I. Karaman; R. Santamarta; J. Pons and R. D. Noebe,Acta Materialia,Microstructural characterization and shape memory characteristics of the Ni50.3Ti34.7Hf15 shape memory alloy,2015.0,50.3,34.7,7.018,Ni50.3Ti34.7Hf15.0 %,15.0
A. Evirgen; I. Karaman; R. Santamarta; J. Pons and R. D. Noebe,Acta Materialia,Microstructural characterization and shape memory characteristics of the Ni50.3Ti34.7Hf15 shape memory alloy,2015.0,50.3,34.7,7.018,Ni50.3Ti34.7Hf15.0 %,15.0
A. Evirgen; I. Karaman; R. Santamarta; J. Pons and R. D. Noebe,Acta Materialia,Microstructural characterization and shape memory characteristics of the Ni50.3Ti34.7Hf15 shape memory alloy,2015.0,50.3,34.7,7.018,Ni50.3Ti34.7Hf15.0 %,15.0
A. Evirgen; I. Karaman; R. Santamarta; J. Pons and R. D. Noebe,Acta Materialia,Microstructural characterization and shape memory characteristics of the Ni50.3Ti34.7Hf15 shape memory alloy,2015.0,50.3,34.7,7.018,Ni50.3Ti34.7Hf15.0 %,15.0
A. Evirgen; I. Karaman; R. Santamarta; J. Pons and R. D. Noebe,Acta Materialia,Microstructural characterization and shape memory characteristics of the Ni50.3Ti34.7Hf15 shape memory alloy,2015.0,50.3,34.7,7.018,Ni50.3Ti34.7Hf15.0 %,15.0
A. Evirgen; I. Karaman; R. Santamarta; J. Pons and R. D. Noebe,Acta Materialia,Microstructural characterization and shape memory characteristics of the Ni50.3Ti34.7Hf15 shape memory alloy,2015.0,50.3,34.7,7.018,Ni50.3Ti34.7Hf15.0 %,15.0
A. Evirgen; I. Karaman; R. Santamarta; J. Pons and R. D. Noebe,Acta Materialia,Microstructural characterization and shape memory characteristics of the Ni50.3Ti34.7Hf15 shape memory alloy,2015.0,50.3,34.7,7.018,Ni50.3Ti34.7Hf15.0 %,15.0
A. Evirgen; I. Karaman; R. Santamarta; J. Pons and R. D. Noebe,Acta Materialia,Microstructural characterization and shape memory characteristics of the Ni50.3Ti34.7Hf15 shape memory alloy,2015.0,50.3,34.7,7.018,Ni50.3Ti34.7Hf15.0 %,15.0
A. Evirgen; I. Karaman; R. Santamarta; J. Pons and R. D. Noebe,Acta Materialia,Microstructural characterization and shape memory characteristics of the Ni50.3Ti34.7Hf15 shape memory alloy,2015.0,50.3,34.7,7.018,Ni50.3Ti34.7Hf15.0 %,15.0
A. Evirgen; I. Karaman; R. Santamarta; J. Pons and R. D. Noebe,Acta Materialia,Microstructural characterization and shape memory characteristics of the Ni50.3Ti34.7Hf15 shape memory alloy,2015.0,50.3,34.7,7.018,Ni50.3Ti34.7Hf15.0 %,15.0
A. Evirgen; I. Karaman; R. Santamarta; J. Pons and R. D. Noebe,Acta Materialia,Microstructural characterization and shape memory characteristics of the Ni50.3Ti34.7Hf15 shape memory alloy,2015.0,50.3,34.7,7.018,Ni50.3Ti34.7Hf15.0 %,15.0
A. Evirgen; I. Karaman; R. Santamarta; J. Pons and R. D. Noebe,Acta Materialia,Microstructural characterization and shape memory characteristics of the Ni50.3Ti34.7Hf15 shape memory alloy,2015.0,50.3,34.7,7.018,Ni50.3Ti34.7Hf15.0 %,15.0
A. Evirgen; I. Karaman; R. Santamarta; J. Pons and R. D. Noebe,Acta Materialia,Microstructural characterization and shape memory characteristics of the Ni50.3Ti34.7Hf15 shape memory alloy,2015.0,50.3,34.7,7.018,Ni50.3Ti34.7Hf15.0 %,15.0
A. Evirgen; I. Karaman; R. Santamarta; J. Pons and R. D. Noebe,Acta Materialia,Microstructural characterization and shape memory characteristics of the Ni50.3Ti34.7Hf15 shape memory alloy,2015.0,50.3,34.7,7.018,Ni50.3Ti34.7Hf15.0 %,15.0
A. Evirgen; I. Karaman; R. Santamarta; J. Pons and R. D. Noebe,Acta Materialia,Microstructural characterization and shape memory characteristics of the Ni50.3Ti34.7Hf15 shape memory alloy,2015.0,50.3,34.7,7.018,Ni50.3Ti34.7Hf15.0 %,15.0
A. Evirgen; I. Karaman; R. Santamarta; J. Pons and R. D. Noebe,Acta Materialia,Microstructural characterization and shape memory characteristics of the Ni50.3Ti34.7Hf15 shape memory alloy,2015.0,50.3,34.7,7.018,Ni50.3Ti34.7Hf15.0 %,15.0
A. Evirgen; I. Karaman; R. Santamarta; J. Pons and R. D. Noebe,Acta Materialia,Microstructural characterization and shape memory characteristics of the Ni50.3Ti34.7Hf15 shape memory alloy,2015.0,50.3,34.7,7.018,Ni50.3Ti34.7Hf15.0 %,15.0
A. Evirgen; I. Karaman; R. Santamarta; J. Pons and R. D. Noebe,Acta Materialia,Microstructural characterization and shape memory characteristics of the Ni50.3Ti34.7Hf15 shape memory alloy,2015.0,50.3,34.7,7.018,Ni50.3Ti34.7Hf15.0 %,15.0
A. Evirgen; I. Karaman; R. Santamarta; J. Pons and R. D. Noebe,Acta Materialia,Microstructural characterization and shape memory characteristics of the Ni50.3Ti34.7Hf15 shape memory alloy,2015.0,50.3,34.7,7.018,Ni50.3Ti34.7Hf15.0 %,15.0
A. Evirgen; I. Karaman; R. Santamarta; J. Pons and R. D. Noebe,Acta Materialia,Microstructural characterization and shape memory characteristics of the Ni50.3Ti34.7Hf15 shape memory alloy,2015.0,50.3,34.7,7.018,Ni50.3Ti34.7Hf15.0 %,15.0
